already_projected_amount,co_benefits,costs_and_benefits_private,costs_and_benefits_public,filename,funding,ghg_reduction_2020,ghg_reduction_2025,ghg_reduction_2030,ghg_reduction_2035,ghg_reduction_2040,ghg_reduction_2050,is_adaptation_policy,is_emissions_reduction_policy,policy_description,quantification_of_ghg_emissions_reductions,relative_cost,responsibility_or_implementation,responsibility_or_implementation_details,sector,supporting_activities,target_or_performance_metric,target_year,timeframe
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,"Use reverse 911 call to notify residents of serious heat events or natural disasters, and encourage residents to register into the 'AlertSanDiego' system",,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,False,True,Educate the public to become more energy efficient and reduce demand.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,False,True,Solar-based or other renewable energy sources to supplement the grid and to reduce peak demand on the grid.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Improve building envelopes by adding insulation and placing trees to provide shade,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Encourage cooling technologies.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,False,True,Increase the use of smart-meter devices to allow appliances to run on off-peak hours.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Educate the public about water conservation.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Encourage low-impact development.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Expand water recycling and grey-water systems.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Promote sub-metering in multifamily housing units.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Promote conversion of turf grass to xeriscaping.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Evaluate infrastructure vulnerability based on current degradation and expected climate-related impacts.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,"Prioritize and plan for infrastructure improvements that increase fire safety and reduce energy, especially in vulnerable neighborhoods.",,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Identify alternative routes where infrastructure damage may occur.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Educate the public on the importance of fire safety.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Buffer zones between vegetation and structures and infrastructure.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,"Identify fire-prone habitats, evaluate and plan for increased risk of larger and more frequent wildfires.",,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Increase public outreach and educational programs to inform the public of health and safety resources.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Assist in facilitating access to cooling centers for the public.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Provide information about available low-income weatherization programs and identify other outreach methods to increase visibility and familiarity with these programs.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part86.htm,,,,,,,,True,False,Educate the public on the benefits of improved occupant comfort and reduced utility bills.,,,,,,,,,
,,,,CA_City_Santee_2020_files_part81.htm,,,,,,,,True,True,"Financial incentives for reducing energy use, such as home upgrades through the HERO program, the California Solar Initiative, the Property-Assessed Clean Energy (PACE) program, and rainwater harvesting rebates",,,,,,,,,
,,,,CA_City_Santee_2020_files_part81.htm,,,,,,,,False,True,"Process for obtaining Tier 1 and Tier 2 Green Building Ratings such as LEED, Build It Green/Green Point Rating System, or Energy Star® certified buildings",,,,,,,,,
,,,,CA_City_Santee_2020_files_part81.htm,,,,,,,,False,True,Programs and incentives to facilitate the installation of EV-chargers,,,,,,,,,
,,,,CA_City_Santee_2020_files_part81.htm,,,,,,,,False,True,"Measures and opportunities to reduce, reuse, and recycle waste",,,,,,,,,
,,,,CA_City_Santee_2020_files_part81.htm,,,,,,,,True,False,Establish online permitting to facilitate upgrades to residences and businesses,,,,,,,,,
,"Improved air quality, fuel savings, and improved public health.",,"The City would incur costs associated with this measure, including the purchase of new EVs, which, as of 2021, would range from $23,000 at the low end, to well over $100,000 at the upper end, averaging $61,000, with a median price of $47,000.",CA_City_Coronado_2022_files_part108.htm,,,,,,,,False,True,increase the number of zero-emission municipal vehicles,,,,City staff provided the fleet composition and future purchasing estimates. Seventeen percent of gasoline-fueled fleet vehicles have been identified by City staff for replacement within the CAP timeframe. The measure assumes this subset of vehicles would be replaced by full EVs.,transportation,,replace gasoline-fueled vehicles with new ZEVs,,starting in 2025
,,,,CA_City_DelMar_2016_files_part52.htm,,237 MTCO2e,,,504 MTCO2e,,,False,True,Goal 1: Residential Photovoltaics,,,,,Energy,,,,
,,,,CA_City_DelMar_2016_files_part52.htm,,407 MTCO2e,,,756 MTCO2e,,,False,True,Goal 2: Non-Residential Photovoltaics,,,,,Energy,,,,
,,,,CA_City_ImperialBeach_2019_files_part36.htm,,,,,,,,False,True,"Increase grid-supplied renewable energy through the Renewable Portfolio Standard (RPS), incentives and requirements to increase distributed behind the meter renewables such as Solar PV, and energy efficiency for existing and new buildings.",,,,,Energy,,RPS requirements to 60% by 2030 and 100% by 2045.,,
,,,,CA_City_ImperialBeach_2019_files_part36.htm,,,,,,,,False,True,The California Energy Commission also adopted a requirement for new residential developments to include solar PV beginning in 2020 as part of its 2019 Building Energy Efficiency Standards.,,,,,Energy,,Include solar PV in new residential developments starting in 2020.,,
,"Improved Air Quality, Energy Savings",,,CA_City_ImperialBeach_2019_files_part36.htm,,,,,,,,False,True,Measurement E.1: Increase Grid-Supply of Renewable and Zero Carbon Electricity. Partner with neighboring jurisdictions to evaluate the potential to join a regional CCE program and increase the share of renewables of grid-supplied renewable power to 75% by 2030.,"2030 GHG Reduction Potential: 1,204MT CO2e",,,,Energy,,75% of grid-supplied electricity is renewable by 2030,,
,Improved Air Quality,,,CA_City_ImperialBeach_2019_files_part36.htm,,,,,,,,False,True,Measurement E.2: Increase Commercial Behind-the-Meter PV. Increase solar PV on certain new and redeveloped commercial projects.,2030 GHG Reduction Potential: 59 MT CO2e,,,,Energy,,The measure assumes an additional 0.3 MW of commercial solar PV by 2030.,,
,,,,CA_County_SanDiego_2018_files_part69.htm,,,,,,,,False,True,Air Quality,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part69.htm,,,,,,,,True,False,Public Health,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part69.htm,,,,,,,,False,True,Cost Savings,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part69.htm,,,,,,,,False,True,Improved Mobility,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part202.htm,,,,,,,,False,True,Carbon Sequestration,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part109.htm,,,,,,,,True,False,Conduct a sea level rise study to understand the risks and cost/benefits of development within flood hazard zones and potential long- term mitigation recommendations.,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part109.htm,,,,,,,,True,False,Explore protecting existing and construct new natural buffers to protect the coastline from flooding.,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part109.htm,,,,,,,,True,False,Explore preservation of shorelines through beach replenishment and nourishment to address impacts of sea level rise on shorelines.,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part109.htm,,,,,,,,True,False,Install “green infrastructure” around buildings and other parcel areas to manage storm water.,,,,,,,,,
,,,,CA_City_DelMar_2016_files_part109.htm,,,,,,,,True,False,Evaluate the necessity of replacing bridges that span the San Dieguito Lagoon.,,,,,,,,,
,,,,CA_City_ElCajon_2020_files_part38.htm,,,,"1,800",,,,False,True,Strategy 3: Reduce Vehicle Miles Traveled,"Approximately 1,800 by 2030",,,"Coordination with local and regional transportation, planning agencies, residents, and businesses",Transportation,,"Reduce the City’s GHG emissions by approximately 1,800 by 2030",2030,2030
,,,,CA_City_ElCajon_2020_files_part38.htm,,,,232,,,,False,True,Measure T-5: Increase Alternative Modes of Travel,,,,,Transportation,,Increase use of alternative modes from employee commuting by nine percent at new non-residential developments through 2030.,2030,2030
,,,,CA_City_ElCajon_2020_files_part38.htm,,,,236,,,,False,True,Measure T-6: Encourage Active Transportation,,,,,Transportation,,Install or convert eight additional miles of bike lanes to Class II or better by 2030.,2030,2030
,,,,CA_City_ElCajon_2020_files_part38.htm,,,,190,,,,False,True,Measure T-7: Reduce Household Vehicle Miles Traveled Through Smart Growth Development,,,,Coordinate with MTS on the development,Transportation,,Complete the development of the MTS parking lot into 126 dwelling units by 2030.,2030,2030
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,True,False,W1—Water Waste Enforcement: Complement educational strategies with increased enforcement against water waste.,,,,,Water Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,True,False,W2—Update Landscape Water Conservation Ordinance,,,,,Water Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,True,False,W3—Finance Tools for Efficiency: Support implementation of PACE programs in Del Mar and continue to assess other efficiency financing tools for possible use in the community.,,,,,Finance,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,True,False,W4—Implement Pool Cover Program,,,,,Water Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,False,True,"W5—Develop a Zero Waste Plan: Increase waste reduction through reuse, recycling, composting, and other technologies until the goal of zero waste is achieved.",,,,,Waste Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,False,True,W6—Sponsor Zero Waste Events: Require zero waste at all city-sponsored events by 2017.,,,,,Waste Management,,,2017,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,False,True,W7—Construction & Demolition (C&D) Recycling Standards: Reduce construction waste consigned to the landfills.,,,,,Construction Waste Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,False,True,W8—Organics Diversion Program: Divert organic waste from landfills.,,,,,Waste Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,False,True,W9—Methane Capture for Landfills: Encourage increased methane capture for landfills serving Del Mar.,,,,,Waste Management,,,,
,,,,CA_City_DelMar_2016_files_part67.htm,,,,,,,,False,True,W10—Methane Capture for Wastewater Treatment Plants: Encourage increased methane capture for wastewater treatment plants serving Del Mar.,,,,,Wastewater Management,,,,
,,,,CA_City_DelMar_2016_files_part60.htm,,176 MTCO2e,,,190 MTCO2e,,,False,True,Non-Residential Efficiency Retrofits,,,,,Buildings,,30-percent energy reduction per square foot in 10 percent of non-residential square footage by 2020 and 50-percent energy reduction per square foot in 10 percent of non-residential square footage by 2035,,
,,,,CA_City_DelMar_2016_files_part60.htm,,,,,,,,False,True,Work with SDG&E to develop targeted educational and marketing materials to reach 10 percent of businesses annually,,,,Work with SDG&E,Energy,,Reach 10 percent of businesses annually,,
,,,,CA_City_DelMar_2016_files_part60.htm,,,,,,,,False,True,Work with SDG&E to enroll Del Mar’s top 10 non-residential energy users in a benchmarking program,,,,Work with SDG&E,Energy,,Enroll top 10 non-residential energy users,,
,,,,CA_City_DelMar_2016_files_part60.htm,,,,,,,,False,True,Facilitate the permit process for 25 percent of planning or building applications for solar projects by 2020 (beyond state requirements),,,,,Energy,,Facilitate permit process for 25 percent of planning or building applications for solar projects by 2020,2020,
,,,,CA_County_SanDiego_2018_files_part112.htm,,,,,,,,False,True,Amend Title 9 of the San Diego County Code of Regulatory Ordinances (County Construction Codes),,Low,PDS,,,,,,2020
,,,,CA_County_SanDiego_2018_files_part112.htm,,,,,,,,False,True,"Develop a program for existing homeowners meeting certain income criteria to reduce the cost to replace natural gas tank‐ based water heaters with solar, electric, or tankless gas",,Medium,PDS,,,,,,2020
,,,,CA_County_SanDiego_2018_files_part112.htm,,,,,,,,False,True,Continue to implement the County’s Green Building Incentive Program,,,,,,,,,Ongoing
Not provided,"Improved Air Quality, Increased Natural Habitat, Improved Public Health, Improved Water Quality, Reduced Heat Island Effect, Enhanced Community Character, Increased Local Green Jobs, Improved Resiliency to Climate Impacts",Not provided,"Improved air and water quality, public health, and habitat.",CA_City_ElCajon_2020_files_part43.htm,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,False,True,Preservation and expansion of tree growth in the City to increase the amount of carbon sequestered.,Approximately 100 MTCO2e by 2030,Not provided,City of El Cajon,Implementation through tree planting and maintenance.,Forestry,Not provided,Offsetting CO2 emissions to the extent feasible,2030,Through 2030
Not provided,Provides shade and enhanced aesthetics.,Not provided,Improved shading and quality of life.,CA_City_ElCajon_2020_files_part43.htm,Not provided,Not provided,Not provided,46 MTCO2e,Not provided,Not provided,Not provided,False,True,Measure CS-1: Increase Urban Tree Planting. Requires development projects to plant a minimum of one tree per 600 square feet of required landscape area.,Not provided,Not provided,City of El Cajon,Development projects are to comply.,Urban Planning,Not provided,Plant 100 shade trees annually in development project landscaped areas through 2030.,2030,Through 2030
Not provided,Improved shading and heat reduction.,Not provided,Enhanced parking lot shading and aesthetics.,CA_City_ElCajon_2020_files_part43.htm,Not provided,Not provided,Not provided,14 MTCO2e,Not provided,Not provided,Not provided,False,True,City Action CS-1.2: Increase Tree Shade in Surface Parking Lots. Updates the landscape ordinance to require a minimum of one shade tree per five parking spaces.,Not provided,Not provided,City of El Cajon,New developments must comply.,Urban Planning,Not provided,Plant 40 new shade trees annually in surface parking lots of new developments through 2030.,2030,Through 2030
Not provided,Enhanced street-life aesthetic benefits.,Not provided,Enhanced street environment and energy savings by shading.,CA_City_ElCajon_2020_files_part43.htm,Not provided,Not provided,Not provided,39 MTCO2e,Not provided,Not provided,Not provided,False,True,City Action CS-1.3: Increase Street Trees. Requires all new developments to plant one street tree for every 30 linear feet of street frontage.,Not provided,Not provided,City of El Cajon,New developments must comply.,Urban Planning,Not provided,Plant 110 street trees annually at new developments through 2030.,2030,Through 2030
,,,,CA_County_SanDiego_2018_files_part27.htm,,,,,,,,True,False,Implement the South County MSCP and future additional conservation efforts,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part27.htm,,,,,,,,True,False,"Acquire 2,622 acres of open space conservation lands",,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part27.htm,,,,,,,,True,False,Acquire 437 acres of open space conservation lands per year,,,,,,,,,
,,,,CA_County_SanDiego_2018_files_part160.htm,,,,,,,,True,False,The County amended its Water Conservation in Landscaping Ordinance (Landscaping Ordinance) to be consistent with the State’s 2015 update to the California Water Commission-approved Model Water Efficient Landscape Ordinance (MWELO).,,,The measure would be enforced through the County’s current permitting process.,This measure applies only to potable water use in outdoor landscaping and not all outdoor applications.,Water Conservation,,"Residential and non-residential landscapes to use 18% and 4% less potable water than currently required by the State, respectively.",,
,,,,CA_County_SanDiego_2018_files_part160.htm,,,,,,,,True,False,"If the State does not update the MWELO to require a 40% reduction from 2014 outdoor water use budgets for landscaping, then the County’s Landscaping Ordinance would be amended by 2020 to achieve this standard.",,,,,Water Conservation,,40% reduction from 2014 outdoor water use budgets for landscaping.,2020,
,,,,CA_City_LaMesa_2018_files_part36.htm,,"4,200 MT CO2e/yr",,,"17,810 MT CO2e/yr",,,False,True,BUILDING RETROFIT PROGRAM,,,City of La Mesa - Community Development (CD) - Building,,Energy,,,,Near-term
,,,,CA_City_LaMesa_2018_files_part36.htm,,<1 MT CO2e/yr,,,10 MT CO2e/yr,,,False,True,SHADE TREE PROGRAM,,,City of La Mesa - Public Works (PW),,Forestry,,,,Medium-term
,,,,CA_City_LaMesa_2018_files_part36.htm,,30 MT CO2e/yr,,,60 MT CO2e/yr,,,False,True,MUNICIPAL ENERGY EFFICIENCY GOAL,,,City of La Mesa - Public Works (PW) - Engineering,,Energy,,,,Medium-term
,,,,CA_City_LaMesa_2018_files_part36.htm,,170 MT CO2e/yr,,,170 MT CO2e/yr,,,False,True,PUBLIC LIGHTING,,,City of La Mesa - Public Works (PW) - Engineering,,Energy,,,,Near-term
